Experiment,Classifier,Metric,Value (%)
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_saux0p05_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.1,Accuracy,91.2621359223301
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_saux0p05_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.1,Precision,91.30102040816327
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_saux0p05_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.1,Recall,91.29251700680273
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_saux0p05_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.1,F1-score,91.04801925714051
