Experiment,Classifier,Metric,Value (%)
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_spft_spfreeze_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,Accuracy,95.14563106796116
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_spft_spfreeze_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,Precision,95.35714285714285
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_spft_spfreeze_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,Recall,95.17006802721089
rp_resnet50_multiscale_cnn_spectral_residual_paper_feat512_fz2_id0p1_fd0p15_h256_iw0p05_spft_spfreeze_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,F1-score,95.13957307060757
