Experiment,Classifier,Metric,Value (%)
wavelet_db4_l3_attn_cnn_multiscale_cnn_spectral_residual_paper_wavelet_multiview_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,Accuracy,96.11650485436894
wavelet_db4_l3_attn_cnn_multiscale_cnn_spectral_residual_paper_wavelet_multiview_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,Precision,96.30102040816327
wavelet_db4_l3_attn_cnn_multiscale_cnn_spectral_residual_paper_wavelet_multiview_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,Recall,96.12244897959185
wavelet_db4_l3_attn_cnn_multiscale_cnn_spectral_residual_paper_wavelet_multiview_feat512_fz2_id0p1_fd0p15_h256_iw0p05_iaux0p02_snv_d1_sg_linear_svm_paper_repro,LinearSVM-C0.03,F1-score,96.08854887895093
