Experiment,Classifier,Metric,Value (%)
rp_resnet50_multiscale_cnn_spectral_residual_paper_spectral_only_feat512_fz2_id0p1_fd0p15_h256_iw0p05_saux0p05_snv_sgd1_linear_svm_spectral_sgd1_cosine,LinearSVM-C10,Accuracy,96.11650485436894
rp_resnet50_multiscale_cnn_spectral_residual_paper_spectral_only_feat512_fz2_id0p1_fd0p15_h256_iw0p05_saux0p05_snv_sgd1_linear_svm_spectral_sgd1_cosine,LinearSVM-C10,Precision,96.22252747252747
rp_resnet50_multiscale_cnn_spectral_residual_paper_spectral_only_feat512_fz2_id0p1_fd0p15_h256_iw0p05_saux0p05_snv_sgd1_linear_svm_spectral_sgd1_cosine,LinearSVM-C10,Recall,96.05442176870748
rp_resnet50_multiscale_cnn_spectral_residual_paper_spectral_only_feat512_fz2_id0p1_fd0p15_h256_iw0p05_saux0p05_snv_sgd1_linear_svm_spectral_sgd1_cosine,LinearSVM-C10,F1-score,96.01426629235306
