RunID,Experiment,Classifier,Metric,Value (%)
20260717_140101_781928,spectral_wavelet_multiscale_cnn_attn_cnn_db4_l3_spectral_residual_strict_wdenoise_wavelet_multiview_feat256_fd0p2_h256_sw0p1_cl0p03n_warm5_enhanced_fs256_snv_d1_sg_linear_svm_paper_repro_20260717_140101_781928,LinearSVM-C0.1,Accuracy,85.18518518518519
20260717_140101_781928,spectral_wavelet_multiscale_cnn_attn_cnn_db4_l3_spectral_residual_strict_wdenoise_wavelet_multiview_feat256_fd0p2_h256_sw0p1_cl0p03n_warm5_enhanced_fs256_snv_d1_sg_linear_svm_paper_repro_20260717_140101_781928,LinearSVM-C0.1,Precision,82.49433106575965
20260717_140101_781928,spectral_wavelet_multiscale_cnn_attn_cnn_db4_l3_spectral_residual_strict_wdenoise_wavelet_multiview_feat256_fd0p2_h256_sw0p1_cl0p03n_warm5_enhanced_fs256_snv_d1_sg_linear_svm_paper_repro_20260717_140101_781928,LinearSVM-C0.1,Recall,85.8974358974359
20260717_140101_781928,spectral_wavelet_multiscale_cnn_attn_cnn_db4_l3_spectral_residual_strict_wdenoise_wavelet_multiview_feat256_fd0p2_h256_sw0p1_cl0p03n_warm5_enhanced_fs256_snv_d1_sg_linear_svm_paper_repro_20260717_140101_781928,LinearSVM-C0.1,F1-score,83.29420657151749
